a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 0.6.55-3
acl 2.3.1-1
acpi 1.7-3
acpid 2.0.32-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.046-1
adwaita-icon-theme 40.1.1-1
adwaita-maia 20210426-2
adwaita-qt 1.4.0-1
alacarte 3.36.0+2+gae6b92d-2
alsa-card-profiles 1:0.3.34-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.5.1-3
alsa-oss 1.1.8-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
alsa-utils 1.2.5.1-1
amd-ucode 20210818.c46b8c3-1
amtk 5.3.1-1
aom 3.1.2-2
apache 2.4.48-1
apparmor 3.0.3-1
appstream-glib 0.7.18-3
apr 1.7.0-3
apr-util 1.6.1-8
archlinux-appstream-data 20210902-1
archlinux-keyring 20210820-1
argon2 20190702-3
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.3-1
atk 2.36.0-1
atkmm 2.28.2-2
atool 0.39.0-7
attr 2.5.1-1
audit 3.0.4-1
avahi 0.8+22+gfd482a7-1
b43-fwcutter 019-3
baobab 40.0-1
bash 5.1.008-3
bashrc-manjaro 5.1.008-3
bc 1.07.1-4
bluez 5.61-1
bluez-libs 5.61-1
bmenu 0.17-1
bolt 0.9.1-1
boost-libs 1.76.0-1
brotli 1.0.9-4
btrfs-progs 5.13.1-1
btrfsmaintenance 0.5.r0.gbe42cb6-1
bubblewrap 0.5.0-1
bzip2 1.0.8-4
ca-certificates 20210603-1
ca-certificates-mozilla 3.69.1-1
ca-certificates-utils 20210603-1
caffeine-ng 3.5.1-1.3
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.301-1
cdparanoia 10.2-8
celt 0.11.3-4
cheese 3.38.0-1
chromaprint 1.5.0-3
chrome-gnome-shell 10.1-6
cifs-utils 6.13-3
ckbcomp 1.204-1
clutter 1.26.4-1
clutter-gst 3.0.27-3
clutter-gtk 1.8.4-2
cmus 2.9.1-1
cogl 1.22.8-1
colord 1.4.5-4
colord-gtk 0.2.0-2
colord-sane 1.4.5-4
confuse 3.3-3
coreutils 8.32-1
cpupower 5.14-1
cracklib 2.9.7-2
crda 4.14-4
cronie 1.5.7-2
cryptsetup 2.4.0-1
cups 1:2.3.3op2-3
cups-filters 1.28.10-1
cups-pdf 3.0.1-6
cups-pk-helper 0.2.6-4
curl 7.78.0-1
dav1d 0.9.1-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-1
dconf 0.40.0-1
dconf-editor 3.38.3-1
deja-dup 42.7-1
desktop-file-utils 0.26-1
device-mapper 2.03.13-1
dhclient 4.4.2.P1-1
dhcpcd 9.4.0-1
diffutils 3.8-1
ding-libs 0.6.1-3
djvulibre 3.5.28-3
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.85-1
dnssec-anchors 20190629-3
dosfstools 4.2-1
double-conversion 3.1.5-2
duplicity 0.8.20-1
e2fsprogs 1.46.4-1
ecryptfs-utils 111-4
efibootmgr 17-2
efivar 37-4
enchant 2.3.1-1
evince 40.4-1
evolution-data-server 3.40.4-1
exempi 2.5.2-1
exfat-utils 1.3.0-2
exiv2 0.27.4-2
expac 10-4
expat 2.4.1-1
f2fs-tools 1.14.0-2
faac 1.30-2
faad2 2.10.0-1
ffmpeg 2:4.4-4
ffmpegthumbnailer 2.2.2-2
fftw 3.3.9-1
file 5.40-5
file-roller 3.40.0-1
filesystem 2021.01.19-1
findutils 4.8.0-1
firefox 91.0.2-1
firefox-gnome-theme-maia 20210711-1
flac 1.3.3-3
flashrom 1.2-2
flatpak 1.11.3-1
fluidsynth 2.2.2-1
folks 0.14-5
fontconfig 2:2.13.94-1
foomatic-db 3:20210828-1
foomatic-db-engine 4:20200206-1
foomatic-db-gutenprint-ppds 5.3.4-1
fprintd 1.94.0-1
freeglut 3.2.1-2
freetype2 2.11.0-3
frei0r-plugins 1.7.0-1
fribidi 1.0.10-1
fuse-common 3.10.4-1
fuse2 2.9.9-4
fuse3 3.10.4-1
fwupd 1.6.3-1
fwupd-efi 1.1-1
fzf 0.27.2-1
gamemode 1.6.1-1
gavl 1.4.0-5
gawk 5.1.0-1
gcab 1.4-1
gcc-libs 11.1.0-1
